Symbol,Security,Qty,Type,Open date,Adj cost per share,Adj cost,Dollar cost
AAPL,APPLE,57,Buy,08/26/22,167,8112,
AMZN,Amazon,68,Buy,08/26/22,133,7711.96,
NVDA,NVDIA,53,Buy,08/26/22,168,7592.51,
GOOGL,ALPHABET,81,Buy,08/26/22,111,7684.38,
NVDA,NVDIA,59,Buy,09/01/22,141.5,7250.12,
AMZN,Amazon,72,Buy,10/31/22,102,6422.19,
AAPL,APPLE,43,Buy,11/04/22,140,5366.17,
AMZN,Amazon,56,Buy,11/04/22,90,4497.12,
GOOGL,ALPHABET,36,Buy,11/04/22,36,2702.01,
